Generation,evals,avg,std,min,max,best_one,fitness_best_one
10,404,[  7.15       523.16984366],[0.35707142 9.10742948],[  7.         491.72675608],[  8.         537.87831594],"[9, 12, 15, 24, 23, 25, 20, 2, 6, 1, 10, 8, 13, 16, 4, 11, 5, 3, 7, 21, 22, 19, 14, 18, 17]","(7.0, 491.72675607544744)"
11,412,[  7.052      516.99931852],[0.22202703 6.27675028],[  7.         483.83479262],[  8.         527.50117747],"[9, 14, 12, 17, 3, 7, 6, 4, 22, 21, 16, 25, 23, 24, 20, 11, 19, 18, 13, 5, 2, 1, 15, 8, 10]","(7.0, 483.8347926153279)"
12,442,[  7.002      513.40862681],[0.04467662 5.81878982],[  7.         483.83479262],[  8.         519.33935606],"[9, 14, 12, 17, 3, 7, 6, 4, 22, 21, 16, 25, 23, 24, 20, 11, 19, 18, 13, 5, 2, 1, 15, 8, 10]","(7.0, 483.8347926153279)"
13,428,[  7.006      510.09022281],[0.07722694 6.40757046],[  7.         483.83479262],[  8.         515.59708515],"[9, 14, 12, 17, 3, 7, 6, 4, 22, 21, 16, 25, 23, 24, 20, 11, 19, 18, 13, 5, 2, 1, 15, 8, 10]","(7.0, 483.8347926153279)"
14,418,[  7.002      506.05120218],[0.04467662 5.9208325 ],[  7.         483.83479262],[  8.         514.13201481],"[9, 14, 12, 17, 3, 7, 6, 4, 22, 21, 16, 25, 23, 24, 20, 11, 19, 18, 13, 5, 2, 1, 15, 8, 10]","(7.0, 483.8347926153279)"
15,438,[  7.004      502.54044929],[0.06311894 5.83660004],[  7.         472.32558478],[  8.         508.58531444],"[22, 14, 12, 17, 3, 7, 6, 4, 9, 21, 16, 25, 23, 24, 20, 11, 19, 18, 13, 5, 2, 1, 15, 8, 10]","(7.0, 472.3255847826346)"
16,434,[  7.008      499.05966351],[0.08908423 6.27101087],[  7.         471.74458023],[  8.         503.77338835],"[18, 13, 4, 9, 23, 5, 8, 3, 1, 2, 22, 16, 14, 12, 24, 21, 25, 7, 6, 10, 11, 20, 19, 15, 17]","(7.0, 471.7445802337321)"
17,448,[  7.014      495.98525047],[0.11749043 6.28560989],[  7.         471.74458023],[  8.         503.02903859],"[18, 13, 4, 9, 23, 5, 8, 3, 1, 2, 22, 16, 14, 12, 24, 21, 25, 7, 6, 10, 11, 20, 19, 15, 17]","(7.0, 471.7445802337321)"
18,426,[  7.024      492.45470414],[0.15304901 5.18912773],[  7.         471.74458023],[  8.         499.63881317],"[18, 13, 4, 9, 23, 5, 8, 3, 1, 2, 22, 16, 14, 12, 24, 21, 25, 7, 6, 10, 11, 20, 19, 15, 17]","(7.0, 471.7445802337321)"
19,420,[  7.002      489.16532763],[0.04467662 4.77872234],[  7.         451.52781384],[  8.         494.13541599],"[18, 13, 4, 22, 23, 5, 8, 3, 1, 2, 9, 16, 14, 12, 24, 21, 25, 7, 6, 10, 11, 20, 19, 15, 17]","(7.0, 451.5278138417723)"
20,430,[  7.006      486.90195282],[0.07722694 5.62337375],[  7.         451.52781384],[  8.         491.72675608],"[18, 13, 4, 22, 23, 5, 8, 3, 1, 2, 9, 16, 14, 12, 24, 21, 25, 7, 6, 10, 11, 20, 19, 15, 17]","(7.0, 451.5278138417723)"
21,402,[  7.016      483.34924575],[0.1254751  5.66264487],[  7.         451.52781384],[  8.        490.3914084],"[18, 13, 4, 22, 23, 5, 8, 3, 1, 2, 9, 16, 14, 12, 24, 21, 25, 7, 6, 10, 11, 20, 19, 15, 17]","(7.0, 451.5278138417723)"
22,438,[  7.002      480.67597874],[0.04467662 5.69482789],[  7.         447.62353182],[  8.        484.4472863],"[18, 13, 19, 9, 4, 5, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 447.623531815268)"
23,446,[  7.004      478.66237178],[0.06311894 6.42238456],[  7.         447.62353182],[  8.         483.83479262],"[18, 13, 19, 9, 4, 5, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 447.623531815268)"
24,424,[  7.006      475.53228247],[0.07722694 6.43656539],[  7.         447.62353182],[  8.         481.97731674],"[18, 13, 19, 9, 4, 5, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 447.623531815268)"
25,452,[  7.         472.87981732],[0.         6.47513824],[  7.         447.62353182],[  7.         478.20992422],"[18, 13, 19, 9, 4, 5, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 447.623531815268)"
26,416,[  7.         469.68307645],[0.        6.7330506],[  7.         443.64550749],[  7.         475.32939327],"[18, 13, 19, 9, 5, 4, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 443.64550748941474)"
27,426,[  7.         467.64990942],[0.         8.15903199],[  7.         443.64550749],[  7.         472.32558478],"[18, 13, 19, 9, 5, 4, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 443.64550748941474)"
28,418,[  7.         464.97096879],[0.         9.17125325],[  7.         443.64550749],[  7.         472.32558478],"[18, 13, 19, 9, 5, 4, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 443.64550748941474)"
29,420,[  7.         460.41046026],[0.         8.92001149],[  7.         443.64550749],[  7.         471.74458023],"[18, 13, 19, 9, 5, 4, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 15, 17]","(7.0, 443.64550748941474)"
30,428,[  7.         453.94107922],[0.         5.64586512],[  7.         438.86482446],[  7.         462.27894701],"[18, 13, 19, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 438.8648244596335)"
31,432,[  7.         449.96300459],[0.         2.63296528],[  7.         438.86482446],[  7.         455.14414009],"[18, 13, 19, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 438.8648244596335)"
32,406,[  7.         448.38610272],[0.         2.49419225],[  7.         438.86482446],[  7.         451.52781384],"[18, 13, 19, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 438.8648244596335)"
33,424,[  7.         446.88228235],[0.         1.71837938],[  7.         438.86482446],[  7.         447.62353182],"[18, 13, 19, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 438.8648244596335)"
34,432,[  7.         446.27538561],[0.         2.24734639],[  7.         438.17230221],[  7.         447.62353182],"[18, 15, 19, 9, 4, 5, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 13, 17]","(7.0, 438.17230220589613)"
35,436,[  7.         445.32840806],[0.         2.64737039],[  7.         438.17230221],[  7.         447.62353182],"[18, 15, 19, 9, 4, 5, 8, 3, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 20, 23, 13, 17]","(7.0, 438.17230220589613)"
36,412,[  7.         443.70774927],[0.         2.63332374],[  7.         429.57261429],[  7.         447.62353182],"[18, 19, 13, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 429.57261429395004)"
37,432,[  7.         442.03743495],[0.         2.28652998],[  7.         429.57261429],[  7.         444.01785824],"[18, 19, 13, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 429.57261429395004)"
38,444,[  7.       440.797472],[0.         2.36372149],[  7.         429.57261429],[  7.         443.64550749],"[18, 19, 13, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 429.57261429395004)"
39,444,[  7.         438.94175339],[0.         1.50055455],[  7.         429.57261429],[  7.         442.13738552],"[18, 19, 13, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 429.57261429395004)"
40,434,[  7.         438.25475644],[0.         1.43072861],[  7.         429.57261429],[  7.         439.60007403],"[18, 19, 13, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 23, 15, 17]","(7.0, 429.57261429395004)"
41,436,[  7.         437.64454001],[0.         1.71140203],[  7.         427.78969624],[  7.         438.86482446],"[18, 13, 23, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 19, 15, 17]","(7.0, 427.7896962377695)"
42,444,[  7.         436.85071733],[0.         1.83406298],[  7.         427.78969624],[  7.         438.29132238],"[18, 13, 23, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 19, 15, 17]","(7.0, 427.7896962377695)"
43,408,[  7.         435.96315574],[0.         1.96836901],[  7.         427.78969624],[  7.         438.17230221],"[18, 13, 23, 20, 4, 5, 8, 9, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 11, 3, 19, 15, 17]","(7.0, 427.7896962377695)"
44,408,[  7.         434.89148909],[0.         1.95801796],[  7.         425.70734802],[  7.         436.52540412],"[13, 18, 19, 11, 5, 4, 8, 20, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 9, 3, 23, 15, 17]","(7.0, 425.70734801545575)"
45,414,[  7.         434.04072892],[0.         2.25247674],[  7.         425.70734802],[  7.         435.70016625],"[13, 18, 19, 11, 5, 4, 8, 20, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 10, 9, 3, 23, 15, 17]","(7.0, 425.70734801545575)"
46,428,[  7.         433.01670824],[0.        2.4349839],[  7.         425.33109435],[  7.         435.49368676],"[13, 18, 19, 11, 5, 4, 8, 20, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 3, 10, 9, 6, 23, 15, 17]","(7.0, 425.3310943520207)"
47,428,[  7.         431.62180191],[0.         2.28813846],[  7.         425.33109435],[  7.         434.03307987],"[13, 18, 19, 11, 5, 4, 8, 20, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 3, 10, 9, 6, 23, 15, 17]","(7.0, 425.3310943520207)"
48,426,[  7.         430.40083553],[0.         2.23064998],[  7.         422.91391246],[  7.        433.3286897],"[18, 19, 13, 20, 4, 5, 8, 10, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 9, 11, 3, 23, 15, 17]","(7.0, 422.9139124559632)"
49,424,[  7.         428.96201201],[0.         1.36983718],[  7.         422.91391246],[  7.         431.09957247],"[18, 19, 13, 20, 4, 5, 8, 10, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 9, 11, 3, 23, 15, 17]","(7.0, 422.9139124559632)"
50,432,[  7.         428.37191204],[0.         1.42754322],[  7.         422.91391246],[  7.         429.57261429],"[18, 19, 13, 20, 4, 5, 8, 10, 21, 2, 1, 16, 14, 12, 24, 25, 22, 7, 6, 9, 11, 3, 23, 15, 17]","(7.0, 422.9139124559632)"
